Slice,Count,Total Area,Average Size,%Area
34_CA1_3.tif-(Colour_1).tif,25,1101903.810,44076.152,98.964
34_CA1_3.tif-(Colour_2).tif,821,77710.010,94.653,6.979
34_CA1_4.tif-(Colour_1).tif,106,1083703.712,10223.620,97.330
34_CA1_4.tif-(Colour_2).tif,645,57365.739,88.939,5.152
34_CA1_5.tif-(Colour_1).tif,102,1047986.942,10274.382,94.122
34_CA1_5.tif-(Colour_2).tif,866,75976.427,87.733,6.824
34_CA1_6.tif-(Colour_1).tif,96,1086609.549,11318.849,97.591
34_CA1_6.tif-(Colour_2).tif,1136,146848.938,129.268,13.189
37_ARC_1.tif-(Colour_1).tif,3,1033794.362,344598.121,92.847
37_ARC_1.tif-(Colour_2).tif,393,34946.970,88.924,3.139
37_ARC_2.tif-(Colour_1).tif,7,992674.728,141810.675,89.154
37_ARC_2.tif-(Colour_2).tif,428,35675.208,83.353,3.204
37_ARC_3.tif-(Colour_1).tif,59,984783.292,16691.242,88.446
37_ARC_3.tif-(Colour_2).tif,468,36890.278,78.825,3.313
37_ARC_4.tif-(Colour_1).tif,3,1031970.205,343990.068,92.684
37_ARC_4.tif-(Colour_2).tif,199,12334.986,61.985,1.108
37_CA1_1.tif-(Colour_1).tif,3,1112142.517,370714.172,99.884
37_CA1_1.tif-(Colour_2).tif,206,11023.978,53.514,0.990
37_CA1_2.tif-(Colour_1).tif,1,1113230.375,1113230.375,99.982
37_CA1_2.tif-(Colour_2).tif,160,7202.957,45.018,0.647
37_CA1_3.tif-(Colour_1).tif,5,1111619.888,222323.978,99.837
37_CA1_3.tif-(Colour_2).tif,396,34216.054,86.404,3.073
37_CA1_4.tif-(Colour_1).tif,4,1110343.228,277585.807,99.722
37_CA1_4.tif-(Colour_2).tif,392,28431.199,72.529,2.553
39_ARC_1.tif-(Colour_1).tif,10,968324.760,96832.476,86.967
39_ARC_1.tif-(Colour_2).tif,121,5676.423,46.913,0.510
39_ARC_2.tif-(Colour_1).tif,7,1006109.691,143729.956,90.361
39_ARC_2.tif-(Colour_2).tif,130,4942.383,38.018,0.444
39_ARC_3.tif-(Colour_1).tif,11,940776.627,85525.148,84.493
39_ARC_3.tif-(Colour_2).tif,108,4705.884,43.573,0.423
39_ARC_4.tif-(Colour_1).tif,19,883880.769,46520.040,79.383
39_ARC_4.tif-(Colour_2).tif,161,10200.694,63.358,0.916
39_CA1_1.tif-(Colour_1).tif,1,1112945.250,1112945.250,99.956
39_CA1_1.tif-(Colour_2).tif,224,13355.502,59.623,1.199
39_CA1_2.tif-(Colour_1).tif,3,1109893.517,369964.506,99.682
39_CA1_2.tif-(Colour_2).tif,232,15002.070,64.664,1.347
39_CA1_3.tif-(Colour_1).tif,4,1110244.714,277561.178,99.714
39_CA1_3.tif-(Colour_2).tif,318,23628.484,74.303,2.122
39_CA1_4.tif-(Colour_1).tif,1,1111023.375,1111023.375,99.784
39_CA1_4.tif-(Colour_2).tif,293,18326.443,62.548,1.646
39_CA1_5.tif-(Colour_1).tif,1,1111360.625,1111360.625,99.814
39_CA1_5.tif-(Colour_2).tif,222,11878.944,53.509,1.067
39_CA1_6.tif-(Colour_1).tif,23,1030412.431,44800.540,92.544
39_CA1_6.tif-(Colour_2).tif,345,31474.004,91.229,2.827
39_CA1_7.tif-(Colour_1).tif,25,1042701.412,41708.056,93.647
39_CA1_7.tif-(Colour_2).tif,260,19749.007,75.958,1.774
39_CA1_8.tif-(Colour_1).tif,10,1087212.832,108721.283,97.645
39_CA1_8.tif-(Colour_2).tif,343,22890.874,66.737,2.056
40_ARC_1.tif-(Colour_1).tif,23,917801.821,39904.427,82.430
40_ARC_1.tif-(Colour_2).tif,348,25093.439,72.108,2.254
40_ARC_2.tif-(Colour_1).tif,3,791195.455,263731.818,71.059
40_ARC_2.tif-(Colour_2).tif,156,10921.793,70.011,0.981
40_ARC_3.tif-(Colour_1).tif,9,917104.817,101900.535,82.367
40_ARC_3.tif-(Colour_2).tif,447,37678.757,84.293,3.384
40_ARC_4.tif-(Colour_1).tif,3,864527.109,288175.703,77.645
40_ARC_4.tif-(Colour_2).tif,207,12197.103,58.923,1.095
40_ARC_5.tif-(Colour_1).tif,8,957363.192,119670.399,85.983
40_ARC_5.tif-(Colour_2).tif,412,35433.801,86.004,3.182
40_ARC_6.tif-(Colour_1).tif,27,941874.299,34884.233,84.592
40_ARC_6.tif-(Colour_2).tif,411,28364.711,69.014,2.547
40_CA1_1.tif-(Colour_1).tif,4,1095011.445,273752.861,98.345
40_CA1_1.tif-(Colour_2).tif,724,77852.355,107.531,6.992
40_CA1_2.tif-(Colour_1).tif,4,1110134.927,277533.732,99.704
40_CA1_2.tif-(Colour_2).tif,848,85860.748,101.251,7.711
40_CA1_3.tif-(Colour_1).tif,9,1106720.824,122968.980,99.397
40_CA1_3.tif-(Colour_2).tif,408,33814.006,82.877,3.037
40_CA1_4.tif-(Colour_1).tif,6,1112144.673,185357.446,99.884
40_CA1_4.tif-(Colour_2).tif,733,97984.669,133.676,8.800
40_CA1_5.tif-(Colour_1).tif,1,1111800.250,1111800.250,99.853
40_CA1_5.tif-(Colour_2).tif,553,54716.504,98.945,4.914
40_CA1_6.tif-(Colour_1).tif,1,1112935.375,1112935.375,99.955
40_CA1_6.tif-(Colour_2).tif,529,53472.429,101.082,4.802
40_CA1_7.tif-(Colour_1).tif,1,1112485.625,1112485.625,99.915
40_CA1_7.tif-(Colour_2).tif,565,64140.320,113.523,5.761
40_CA1_8.tif-(Colour_1).tif,1,1111825.625,1111825.625,99.856
40_CA1_8.tif-(Colour_2).tif,1009,105915.418,104.971,9.513
41_ARC_1.tif-(Colour_1).tif,8,1022562.015,127820.252,91.839
41_ARC_1.tif-(Colour_2).tif,257,18511.180,72.028,1.663
41_ARC_2.tif-(Colour_1).tif,33,1029625.252,31200.765,92.473
41_ARC_2.tif-(Colour_2).tif,280,18591.501,66.398,1.670
41_ARC_3.tif-(Colour_1).tif,13,1033021.922,79463.225,92.778
41_ARC_3.tif-(Colour_2).tif,293,16674.966,56.911,1.498
41_ARC_4.tif-(Colour_1).tif,35,1007689.756,28791.136,90.503
41_ARC_4.tif-(Colour_2).tif,266,17360.813,65.266,1.559
41_CA1_1.tif-(Colour_1).tif,10,1108310.728,110831.073,99.540
41_CA1_1.tif-(Colour_2).tif,210,12411.737,59.104,1.115
41_CA1_2.tif-(Colour_1).tif,1,1112109.500,1112109.500,99.881
